Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)"
Afghanistan,AFG,2023,1992.4244
Albania,ALB,2023,18244.293
Algeria,DZA,2023,15159.324
Andorra,AND,2023,64631.297
Angola,AGO,2023,7244.893
Antigua and Barbuda,ATG,2023,28967.256
Argentina,ARG,2023,27104.98
Armenia,ARM,2023,19230.19
Aruba,ABW,2023,40516.81
Australia,AUS,2023,59552.88
Austria,AUT,2023,65015.133
Azerbaijan,AZE,2023,21262.299
Bahamas,BHS,2023,33105.605
Bahrain,BHR,2023,57213.09
Bangladesh,BGD,2023,8242.398
Barbados,BRB,2023,19224.463
Belarus,BLR,2023,27718.322
Belgium,BEL,2023,64185.848
Belize,BLZ,2023,12455.296
Benin,BEN,2023,3721.2246
Bermuda,BMU,2023,98041.69
Bolivia,BOL,2023,9843.97
Bosnia and Herzegovina,BIH,2023,20126.38
Botswana,BWA,2023,18846.25
Brazil,BRA,2023,19018.238
Brunei,BRN,2023,76828.4
Bulgaria,BGR,2023,33403.375
Burkina Faso,BFA,2023,2482.0723
Burundi,BDI,2023,828.8611
Cambodia,KHM,2023,6690.5894
Cameroon,CMR,2023,4870.571
Canada,CAN,2023,55918.93
Cape Verde,CPV,2023,9288.402
Cayman Islands,CYM,2023,78109.35
Central African Republic,CAF,2023,1135.1362
Chad,TCD,2023,1679.4615
Chile,CHL,2023,29462.64
China,CHN,2023,22137.6
Colombia,COL,2023,18692.385
Comoros,COM,2023,3498.8032
Congo,COG,2023,6172.2876
Costa Rica,CRI,2023,26292.771
Cote d'Ivoire,CIV,2023,6485.316
Croatia,HRV,2023,41116.87
Curacao,CUW,2023,28886.688
Cyprus,CYP,2023,53420.684
Czechia,CZE,2023,49681.06
Democratic Republic of Congo,COD,2023,1455.8356
Denmark,DNK,2023,72097.305
Djibouti,DJI,2023,6400.62
Dominica,DMA,2023,17420.252
Dominican Republic,DOM,2023,23087.934
East Asia and Pacific (WB),,2023,22687.838
East Timor,TLS,2023,4328.508
Ecuador,ECU,2023,14472.316
Egypt,EGY,2023,16691.133
El Salvador,SLV,2023,11404.334
Equatorial Guinea,GNQ,2023,15688.238
Estonia,EST,2023,42471.824
Eswatini,SWZ,2023,10132.1875
Ethiopia,ETH,2023,2755.457
Europe and Central Asia (WB),,2023,44432.613
European Union (27),,2023,54446.863
Faeroe Islands,,2023,70373.375
Fiji,FJI,2023,13652.491
Finland,FIN,2023,57063.523
France,FRA,2023,55441.188
Gabon,GAB,2023,18702.691
Gambia,GMB,2023,2932.2805
Georgia,GEO,2023,22590.53
Germany,DEU,2023,63578.14
Ghana,GHA,2023,6796.4736
Greece,GRC,2023,36905.453
Grenada,GRD,2023,16946.473
Guatemala,GTM,2023,12389.386
Guinea,GIN,2023,3949.34
Guinea-Bissau,GNB,2023,2578.8044
Guyana,GUY,2023,49315.16
Haiti,HTI,2023,2956.4622
High-income countries,,2023,57577.62
Honduras,HND,2023,6468.302
Hong Kong,HKG,2023,64467.574
Hungary,HUN,2023,40543.992
Iceland,ISL,2023,67255.67
India,IND,2023,9160.063
Indonesia,IDN,2023,13889.883
Iran,IRN,2023,15912.03
Iraq,IRQ,2023,12711.062
Ireland,IRL,2023,114922.39
Israel,ISR,2023,48432.11
Italy,ITA,2023,53312.07
Jamaica,JAM,2023,10291.3125
Japan,JPN,2023,46157.637
Jordan,JOR,2023,9362.588
Kazakhstan,KAZ,2023,34703.234
Kenya,KEN,2023,5682.9893
Kiribati,KIR,2023,3195.8704
Kosovo,OWID_KOS,2023,13642.677
Kuwait,KWT,2023,46458.2
Kyrgyzstan,KGZ,2023,6403.143
Laos,LAO,2023,8372.156
Latin America and Caribbean (WB),,2023,19654.996
Latvia,LVA,2023,37007.367
Lesotho,LSO,2023,2595.8296
Liberia,LBR,2023,1616.9237
Libya,LBY,2023,12478.144
Lithuania,LTU,2023,46740.41
Low-income countries,,2023,2325.4177
Lower-middle-income countries,,2023,8379.975
Luxembourg,LUX,2023,132846.58
Macao,MAC,2023,104961.64
Madagascar,MDG,2023,1643.3093
Malawi,MWI,2023,1648.4365
Malaysia,MYS,2023,32812.3
Maldives,MDV,2023,22286.98
Mali,MLI,2023,2394.672
Malta,MLT,2023,61125.71
Marshall Islands,MHL,2023,6786.696
Mauritania,MRT,2023,6258.711
Mauritius,MUS,2023,26590.424
Mexico,MEX,2023,22142.607
Micronesia (country),FSM,2023,3886.6965
Middle East and North Africa (WB),,2023,18660.316
Middle-income countries,,2023,14233.418
Moldova,MDA,2023,15855.273
Mongolia,MNG,2023,16222.864
Montenegro,MNE,2023,27869.65
Morocco,MAR,2023,8868.712
Mozambique,MOZ,2023,1511.6365
Myanmar,MMR,2023,5364.138
Namibia,NAM,2023,10105.515
Nauru,NRU,2023,12462.841
Nepal,NPL,2023,4859.8003
Netherlands,NLD,2023,71446.695
New Zealand,NZL,2023,48826.574
Nicaragua,NIC,2023,7486.943
Niger,NER,2023,1703.397
Nigeria,NGA,2023,5593.0566
North America (WB),,2023,72586.85
North Macedonia,MKD,2023,23584.564
Norway,NOR,2023,90469.81
Oman,OMN,2023,38311.418
Pakistan,PAK,2023,5439.1875
Palau,PLW,2023,15796.54
Palestine,PSE,2023,5313.098
Panama,PAN,2023,35863.88
Papua New Guinea,PNG,2023,4174.4414
Paraguay,PRY,2023,15783.115
Peru,PER,2023,15294.257
Philippines,PHL,2023,9901.057
Poland,POL,2023,44384.168
Portugal,PRT,2023,41755.48
Puerto Rico,PRI,2023,42994.785
Qatar,QAT,2023,116159.14
Romania,ROU,2023,40665.527
Russia,RUS,2023,39753.457
Rwanda,RWA,2023,3060.029
Saint Kitts and Nevis,KNA,2023,30409.404
Saint Lucia,LCA,2023,23403.46
Saint Vincent and the Grenadines,VCT,2023,18335.213
Samoa,WSM,2023,6304.346
Sao Tome and Principe,STP,2023,5541.302
Saudi Arabia,SAU,2023,55055.4
Senegal,SEN,2023,4317.2266
Serbia,SRB,2023,26030.021
Seychelles,SYC,2023,29468.951
Sierra Leone,SLE,2023,3034.219
Singapore,SGP,2023,127543.555
Sint Maarten (Dutch part),SXM,2023,44894.695
Slovakia,SVK,2023,39290.434
Slovenia,SVN,2023,48243.94
Solomon Islands,SLB,2023,2534.0276
Somalia,SOM,2023,1402.47
South Africa,ZAF,2023,13690.39
South Asia (WB),,2023,8439.404
South Korea,KOR,2023,50572.25
Spain,ESP,2023,47141.543
Sri Lanka,LKA,2023,13029.524
Sub-Saharan Africa (WB),,2023,4309.3516
Sudan,SDN,2023,2469.1946
Suriname,SUR,2023,19043.705
Sweden,SWE,2023,63114.68
Switzerland,CHE,2023,82557.55
Tajikistan,TJK,2023,4472.324
Tanzania,TZA,2023,3620.7935
Thailand,THA,2023,21142.664
Togo,TGO,2023,2767.5166
Trinidad and Tobago,TTO,2023,31705.834
Tunisia,TUN,2023,12552.986
Turkey,TUR,2023,34609.914
Turkmenistan,TKM,2023,17866.404
Turks and Caicos Islands,TCA,2023,22305.66
Tuvalu,TUV,2023,5812.393
Uganda,UGA,2023,2791.0557
Ukraine,UKR,2023,15885.226
United Arab Emirates,ARE,2023,68577.54
United Kingdom,GBR,2023,54542.016
United States,USA,2023,74577.51
Upper-middle-income countries,,2023,20620.35
Uruguay,URY,2023,31019.31
Uzbekistan,UZB,2023,10007.686
Vanuatu,VUT,2023,3118.396
Vietnam,VNM,2023,13491.88
World,OWID_WRL,2023,20670.941
Zambia,ZMB,2023,3673.4841
Zimbabwe,ZWE,2023,3442.2512
